emotion,text,clean_text
anger,"Betul Min rakyat Indonesia sekarang harapan nya tinggal sama TNI saja, kalau yang lain lihat saja, sudah jelas penyerangan ke kantor media, katanya tidak ada unsur pidananya, sudah jelas menghina presiden Indonesia yang sah, cuma lucu lucu an saja, #TNI [URL]",betul min rakyat indonesia sekarang harapan nya tinggal sama tni kalau lain lihat jelas penyerangan kantor media katanya ada unsur pidananya sudah jelas menghina presiden indonesia sah cuma lucu lucu an url
anger,Kalaupun fansite ngejual hasil jepretan mereka toh uang nya lari ke idol juga. Beliin mereka hadiah dsb kan. Kpopers baru ya? Fansite udh ada dr jaman kamera belom sebening skrg!,kalaupun fansite ngejual hasil jepretan toh uang nya lari idol beliin hadiah sebagainya kan kpopers baru fansite ada  jaman kamera  sebening sekarang 
happy,"sangat bersyukur bisa mendoakan kakeknya, Bung Karno, bersama anak-anak yatim piatu. #BulanBungKarno #JuniBulanBungKarno #PenyambungLidahRakyatIndonesia #nomor2untukjatim #jatimpilihgusipulputi #KabehSedulurKabehMakmur [USERNAME] h",sangat bersyukur mendoakan kakeknya bung karno bersama anakanak yatim piatu username h
sadness,Sulit menerima kenyataan memang bahwa ada sebagian yang menganggap ketika kita berinteraksi dengan satu orng dari satu golongan tertentu kita langsung mengatakan golongan tertentu sesaat tanpa kita mempelajari secara utuh dan mengklaim diri kita paling benar.,sulit menerima kenyataan memang ada sebagian menganggap berinteraksi satu orang  satu golongan tertentu langsung mengatakan golongan tertentu sesaat kita mempelajari utuh mengklaim diri kita paling benar
anger,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,samanye  maling semua si jancok si anjing si siluman monyet hahahahaha satu hati sama sama maling
anger,"Ku juga pengen ngamuk bacain komen2 netizen yg mahabenar. Ya Lord. Ga abis pikir. Komen2 macem gini yg bikin kasus pelecehan seksual akan tenggelam begitu saja. Tidak ada hukuman untuk pelaku. Lebih sedihnya, rerata yg komen jahat adalah perempuan. Mbaq2, kesehatanmu loh! [URL]",ku ingin ngamuk bacain komen netizen  mahabenar lord abis pikir komen macem gini  bikin kasus pelecehan seksual tenggelam saja ada hukuman pelaku lebih sedihnya rerata  komen jahat perempuan mbaq kesehatanmu loh url
love,"Setiap kesempatan yg pernah hadir tuk dapat membuatmu selalu merasa aman dan nyaman, kini jadi suatu kehormatan yg pernah didapat",kesempatan  pernah hadir tuk membuatmu selalu merasa aman nyaman kini jadi suatu kehormatan  pernah didapat
anger,Sedap kali kau ya bobok dikasur ku. Aku tidur kau ikut tidur. Mau jadi apa kau. *Bacanya pake logat mamak dahlia di Keluarga Badak*,sedap kali kamu tidur  dikasur ku tidur kamu ikut tidur mau jadi apa kamu bacanya pakai  logat mamak dahlia keluarga badak
happy,"H-9. Mau ke bank rame bgt ampe antrian tempat duduknya ada diluar. Toko emas meluber ampe ga keliatan mbak2nya yg jualan. Ke swalayan antrian kasir naudzubilah panjang bener. Pada bahagia semua kayaknya. Semoga oh semoga RS sepi, pasien pada sembuh dan pulang utk berbahagia ",h mau bank ramai  sangat  ampe antrian tempat duduknya diluar toko emas meluber ampe kelihatan  mbaknya  jualan swalayan antrian kasir naudzubilah panjang benar  bahagia semua kayaknya semoga semoga rs sepi pasien sembuh pulang  berbahagia
anger,"Benar2 hancur negara ini dikelola amatiran, tp kenpak [USERNAME] tidak mengindahkan statementnya sendiri? Negara miskin koordinasi, jangan asal gagah2an .. setalah salah dianulir mana marwahmu wahai mr. [USERNAME] presiden? [URL]",benar hancur negara dikelola amatiran kenpak username mengindahkan statementnya sendiri negara miskin koordinasi jangan asal gagahan setalah salah dianulir mana marwahmu wahai mr username presiden url
anger,"Budayakan mencari dan membaca sebelum nanya ya. Udah dijelaskan berkali2 kok. Selama ga diatur/gaada ketentuan khusus, pakai aja",budayakan mencari membaca tanya  sudah dijelaskan berkali kok selama diaturgaada ketentuan khusus pakai 
sadness,"Separuh hati ini iri jika melihat seorang anak yg masih bisa duduk atau berjalan bersama ibundanya, dan separuh hati ini turut berempati melihat seorang anak yg begitu gundah saat ibundanya sakit. Yang sabar ya kawan, semoga Allah memberikan yg terbaik untuk kita semua.",separuh hati iri melihat seorang anak  bisa duduk berjalan bersama ibundanya separuh hati turut berempati melihat seorang anak  gundah ibundanya sakit sabar kawan semoga allah memberikan  terbaik kita semua
happy,Ketika aku tersenyum bukan berarti hidupku sempurna.. aku hanya mensyukuri apa yang aku punya dan apa yg telah Tuhan berikan untuk ku,tersenyum bukan berarti hidupku sempurna saya hanya mensyukuri apa saya punya apa  tuhan berikan ku
sadness,"dari mau tdr, tidur, sampe bgn tdr kok yaa kayak ngerasa aneh.. ga enak hati. udah dibawa istighfar masih aja. bgn tdr kayak sedih, kayak mikir ga puguh. ini knp bgt coba :(",mau tidur  tidur bangun  tidur  kok yaa mirip  merasa  aneh enak hati dibawa istighfar saja  bangun  tidur  mirip  sedih mirip  mikir puguh kenapa sangat  coba
love,kan kupeluk engkau erat2 hingga tak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary syg #6nov #31months,kan kupeluk engkau erat hingga tak seorang yang merebut mu pelukan ku happy anniversary sayang 
anger,Kalo mau ganti presiden itu harus jelas siapa calonnya. Terus diadu program kerjanya. Ini koalisi belum ditentuin bisanya cuman buat kaos dan tagar,kalau  mau ganti presiden harus jelas siapa calonnya terus diadu program kerjanya koalisi ditentuin bisanya buat kaos tagar
happy,"Sukses n keren banget dgn no.1 kualitas,bhn krja,itu cita2 pu agar warisan ampe ke cu2,sukses tims bbpjn6 barokah terlimpahkan",sukses n keren sekali   no kualitasbhn krjaitu cita pu warisan ampe cusukses tims bbpjn barokah terlimpahkan
anger,"Udah mau sarjana 2 kali, mbokya mulut nya jangan ketinggalan buat belajar. Sekiranya itu ga perlu diungkapkan, nambah dosa + nyakitin hati orangnya mending diem2 bae lah. Kasian anda nya yg di julidin sm orang.",mau sarjana kali mbokya mulut nya jangan ketinggalan buat belajar sekiranya tidak perlu diungkapkan tambah  dosa menyakiti  hati orangnya mending diam  baik  lah kasihan  nya  julidin sama  orang
anger,Gimana orang ga nilai dr jilbab/syari/nggak nya. Kadang gemez sm orang yg dikelas diem2 bae eh di grup WA bisanya dia nyeletuk mengarah ke social harassment.,gimana orang nilai  jilbabsyaringgak nya kadang gemez sama  orang  dikelas diam  baik  eh grup bisanya nyeletuk mengarah social harassment
fear,Hari ini jadwal presentasi proker di LPPM karna ada praktikum jadinya pak ketua di temani sekretaris 1. Tapi selaku penanggung jawab ada di sekretaris 2 jadi deg deg an ini. Bismillah pak ketua (Btw pen Upload foto pak ketua tapi jangan dulu yaa) ,hari jadwal presentasi proker lppm  praktikum jadinya pak ketua temani sekretaris selaku penanggung jawab di sekretaris jadi deg deg an bismillah pak ketua btw pen upload foto pak ketua jangan dulu yaa
anger,Foto saya di instagram masih ada cuma lupa password instanya jadi ngga bisa di buka !! ini pasti salah pemerintah dan instagram kenapa sampai pakai password segala !! Tuh sampai lupa khan gw #begoloe ,foto instagram ada cuma lupa password instanya jadi bisa di buka pasti salah pemerintah instagram pakai password segala tuh sampai lupa kan
fear,Drama kmarin sore : seharian puasa trus pas lg mandi kaget bcz kedatangan tamu tak diundang pas bgt woi pas lagi adzan maghrib trus jd galau dong seharian itu dianggap sah puasa apa enggak-_-,drama kmarin sore seharian puasa terus  pas  mandi kaget bcz kedatangan tamu tak diundang pas sangat  woi pas adzan maghrib terus  jadi galau dong seharian dianggap sah puasa apa 
sadness,Sungguh mencintaimu berat sekali. Berpisah denganmu apalagi. #HadiahPerasaan - [USERNAME] Selalu bikin baper tp sukses melupakan laper. [URL],sungguh mencintaimu berat sekali berpisah denganmu username selalu bikin baper sukses melupakan lapar  url
anger,"4. pas uda dikirim kembali, si kurir telp ngeluh dan mager buat nganter ke alamat yg bener. malah minta ketemuan di titik yg dia tau itupun dia gamau susah (no puter balik, hrs searah sama arah kendaraan dia jalan)",pas  dikirim si kurir telepon keluh  malas bergerak buat antar  alamat  benar  malah minta ketemuan titik  tahu itupun tidak mau susah no putar  balik  searah sama arah kendaraan jalan
happy,"Pada akhirnya kita akan melewati semua ini, semua yang dulu kita bayangkan betapa sulitnya. Kita lalui juga. Di akhir kita hanya bisa belajar, belajar, dan belajar. Memetik semua hikmah yang bisa kita petik. Mempersiapkan untuk kedepan.",akhirnya akan melewati semua semua dulu bayangkan betapa sulitnya lalui di akhir hanya belajar belajar belajar memetik semua hikmah bisa petik mempersiapkan kedepan
love,"Kenapa pasangan seringkali diibaratkan sebagai ""rumah""? Karena rasa nyaman bersamanya senyaman berada di rumah, kamu bisa jadi apa saja, kamu selalu pulang menujunya ",pasangan seringkali diibaratkan rumah rasa nyaman bersamanya senyaman berada rumah kamu jadi apa kamu selalu pulang menujunya
fear,"Ya tau kalo rasa sakit hati memamg sulit, tapi ada kala nya saat di jenjang rumah tangga jangan lah di publikan situasi saat ini...media itu jahat enggak menyelesaikan masalah dengan terlontarnya kata demi kata",tahu kalau  rasa sakit hati memamg sulit ada kala nya jenjang rumah tangga jangan lah di publikan situasi inimedia jahat  menyelesaikan masalah terlontarnya kata kata
happy,Ponakan kls 4 SD: lg demen nonton video tutorial masak + craft @ YouTube. gw kls 4 SD: udah baca novel2 Marga T. &amp Mira W. minjem punya sepupu,ponakan kelas  sd  suka  nonton video tutorial masak craft youtube kelas  sd baca novel marga t amp mira pinjam  punya sepupu
happy,Bberapa tahun kemudian kesejahteraan keluarga makmak ini teus meningkat. Sampailah suaminya itu dpet pangkat yg tinggi. Kurang paham juga tentang pangkat2an di TNI. Pokonya sudah hidup bekecukupan.,bberapa tahun kemudian kesejahteraan keluarga makmak teus meningkat sampailah suaminya dapat  pangkat  tinggi kurang paham tentang pangkatan tni pokoknya  hidup bekecukupan
sadness,"Bukan tidak mendukung atau mendoakan, cuma menyikapi apa yang sudah2, itu pilihanmu dan berupayalah mempertahankannya...disini aku dari jauh seharusnya bahagia tapi melihatmu sedih kebahagianku pudar...seperti saat kala itu menerima undangan pernikahanmu.",bukan mendukung mendoakan cuma menyikapi apa sudah pilihanmu berupayalah mempertahankannyadisini dari jauh bahagia melihatmu sedih kebahagianku pudarseperti kala menerima undangan pernikahanmu
happy,JNE/JNT selama saya pake entah kirim paket/beli olshop jastip dari luar kota sampe beda pulau maksimal 3 hari sampe mau itu dia pake mobil susah cari alamat bingung gabisa masuk kompleks/gang meski malem sekalipun dibelain jalan ke rumah sampe paketan terkirim dgn baik.,jnejnt selama pakai  entah kirim paketbeli olshop jastip luar kota beda pulau maksimal hari mau dia pakai  mobil susah cari alamat bingung bisa masuk kompleksgang meski malam  sekalipun dibelain jalan rumah paketan terkirim  baik
anger,"Gemes bgt sama orang yg masih menganggap wajar pelecehan sexual secara verbal  mau verbal atau fisik atau apapun, itu tetap tidak dibenarkan!",gemes sangat  sama orang  menganggap wajar pelecehan sexual verbal mau verbal fisik apapun tetap dibenarkan
fear,Apa hukumnya bermain musik stad? jelas HAROOOOM hukumnya! Berdosa kita memainkannya! Begitulah kira-kira percakapan yg terjadi antara penanya dan seorang ustad disebuah acara tv yg intronya pake musik. ,apa hukumnya bermain musik stad jelas haroooom hukumnya berdosa memainkannya begitulah kirakira percakapan  terjadi penanya seorang ustad disebuah acara tv  intronya pakai  musik
anger,Apa Hebatnya Mardani? Menurut sy oeang ini Cuma besar mulut aja Faktanya sampai saat ini blm menyebutkan Capres Lagipula kalau Koalisinya Hanya PKS dan GERINDRA nggak mungkin lah yaow,apa hebatnya mardani saya  oeang cuma besar mulut  faktanya saat belum  menyebutkan capres lagipula kalau koalisinya pks gerindra mungkin lah yaow
sadness,"Oh iya, ibu nya ngelahirin anak ke 3 yaitu cewek tpi gak tahu tahun berapa2 nya. Lanjut yg tadi, baru aja setahun di kasih kenikmatan datang lgi ujian buat si makmak kali ini mungkin berat. Dia di tinggal suaminya meninggal. Seketika ibu itu jadi singel parent",iya ibu nya ngelahirin anak yaitu cewek  tahu tahun berapa nya lanjut  tadi baru  setahun kasih kenikmatan datang  ujian buat si makmak kali mungkin berat di tinggal suaminya meninggal seketika ibu jadi singel parent
happy,Z suka twitter soalny perempuan ji semua temanku dsni Biar mengomel sampe tablengker ndada bahayanya... bahas 'monsteration' jg bebas.. bahas nda puasa jg bebas~~~~~ Di wa mo update status streskan 'monsteration' kt harus pi dl blok semua cowo baru mengupdate ,z suka twitter soalny perempuan ji semua temanku sini biar mengomel tablengker ndada bahayanya bahas monsteration bebas bahas puasa bebas saya mau  update status streskan monsteration  pi dulu  blok semua cowok  baru mengupdate
anger,Nggak ngerti lagi sama ciwi-ciwi yang nyinyirin Via Vallen ini. Dia itu korban loh. Sesusah itukah untuk saling support satu sama lain gurlzz?,ngerti sama ciwiciwi nyinyirin via vallen dia korban loh sesusah itukah saling support satu sama gurlzz
anger,"hari ini libur, rencananya mau nonton Jurassic World, tapi kayanya gajadi deh mengingat kondisi yg gak fit bgt ini sebel. Rusak rencana sebelanga.. sebel akutu",hari libur rencananya mau nonton jurassic world kayaknya  jadi deh mengingat kondisi  fit sangat  kesal  rusak rencana sebelanga kesal 
anger,"Nah ini, yg nunggu anak anteng dengan kesabaran seluas samudra trus bapaknya dateng2 bikin anak nangis. Hmmm kuingin marah melampiaskan",nah yang  nunggu anak anteng kesabaran seluas samudra terus  bapaknya datang  bikin anak nangis hmmm kuingin marah melampiaskan
love,"Ku rindu bisik mu di telingaku Seraya kau berkata ""semoga kelak kau menjadi anak yg berguna bagi banyak orang dan semoga kau selalu menyayangi kami orang tua mu"".",ku rindu bisik mu telingaku kamu berkata semoga kelak kamu menjadi anak  berguna banyak orang semoga kamu selalu menyayangi orang tua mu
anger,ini hasil sekolah asal sekolah ... mikirlah Mahkamah Internasional itu punya kewenangan mengadili perkara genosida dsbnya ...,hasil sekolah asal sekolah mikirlah mahkamah internasional punya kewenangan mengadili perkara genosida dsbnya
anger,"Lah elu yang harusnya ditanya teh, kenapa bisa berasumsi guw mah kacang tanpa kulit, maksudnya apa hayo? Ke sana juga kan maksud loooo",lah elu harusnya ditanya teh bisa berasumsi guw mah kacang kulit maksudnya apa hayo sana kan maksud loooo
anger,"web permata krg profesional. Ada program cashback 10rb token pln, waktu di klik info, masuknya ke program paket kuota data. Piye iki?",web permata kurang  profesional program cashback ribu  token pln waktu klik info masuknya program paket kuota data piye iki
fear,"Nah.... Yg saya takutkan itu mas. Nanti di tumpangi politik dibalut agama. Itu yg bahaya, soale masyarakat kita sedang sensitif dgn hal tersebut.",nah  takutkan mas di tumpangi politik dibalut agama yang  bahaya soalnya  masyarakat sedang sensitif  tersebut
sadness,"mau cerita kesiapa kalau udah kayak begini? hancur hidup ini pikirin dong gimana hati ku aku sedih, aku nangis sampai menetes air mata ini kayaknya lirik lagu sayang pia palen deh wkwkw",mau cerita kesiapa kalau mirip  begini hancur hidup pikirin dong gimana hati ku sedih nangis menetes air mata kayaknya lirik lagu sayang pia palen deh wkwkw
sadness,"Setelah 20hari puasa dan saur gak pernah kesiangan, akhirnya di hari ke21 ngerasain makan saur supeerrr dupeerr ekspress, 1menit sebelum imsak baru bangun yassalaaam",hari puasa saur pernah kesiangan akhirnya hari merasakan  makan saur supeerrr dupeerr ekspress menit imsak baru bangun yassalaaam
fear,"Jdi ada thr tapi dri APBD. Yang punya kuasa takut, kalau kalau di garis bawahi sama kpk. Dan jadilah mereka ggl dpt thr tahun ini. Kok bisa gitu ya. Buk mentri bilang aman. Yang lain ketakutan.",jadi thr dari  apbd punya kuasa takut kalau kalau garis bawahi sama kpk jadilah ggl  thr tahun kok begitu  buk mentri bilang aman lain ketakutan
anger,tolong bantu saya [USERNAME] Kenapa ya lptop saya sudah 2 kali kok gabisa buka dokumen pasti not responding.pdhal sudah pernah dibawa ke hp center smg . Apakah lptop saya termasuk produk gagal atau gimana.beli 11 maret 2018 . Dan kalo gini trs kan jd jgkel sndri.,bantu username ya lptop kali kok bisa buka dokumen not respondingpdhal sudah pernah dibawa hp center semoga  lptop termasuk produk gagal gimanabeli maret kalau  gini terus  kan jadi jgkel sendiri 
anger,ini udah masuk ke proses penjualan... Tapi pas dibuka detail ko malah gini? Apakah produk sedang diproses atau diproses tgl 11?,sudah masuk proses penjualan pas dibuka detail ko malah gini produk sedang diproses diproses tanggal
anger,[USERNAME] Semen indonesia belum nambang loh di Rembang...malah ada perusahaan yg lokasi hanya 200 meter dr areal tambang semen tidak pernah diprotes dan ini sudah bertahun2 lamanya...knp kok pas semen diprotes?,username semen indonesia nambang loh rembangmalah perusahaan  lokasi meter  areal tambang semen pernah diprotes ini bertahun lamanyaknp kok pas semen diprotes
anger,SIAPA YG BILANG PUNYA ANAK MENYENANGKAN TEROS *sodorin anak yg tantrum karna ngantuk tp gak mau bobo* *istigfar kenceng2*,siapa  bilang punya anak menyenangkan terus  sodorin anak  tantrum  ngantuk tidak mau tidur  istigfar kencang 
sadness,"Merasa oon ketika tahu sesuatu dan tidak boleh di bicarakan ke orang lain, nah kelalaian malah sebaliknya, jadi malah merubah siklus dan alur waktu yang seharusnya itu terjadi",merasa oon tahu boleh bicarakan orang nah kelalaian malah sebaliknya jadi malah merubah siklus dan alur waktu seharusnya terjadi
anger,"Punya sahabat cowo 2 nih, tapi sering nya ga konsisten terus sering bohong lagi. Kenapa sih? Udah berkali2 dimarahin karna sering bohong tapi ga mempan2 juga. Apa kodratnya suka bohong apa gimana?",punya sahabat cowok  nih sering nya konsisten terus sering bohong kenapa sih berkali dimarahin  sering bohong tidak mempan apa kodratnya suka bohong apa gimana
happy,"Kalau tau ada libur panjang - selain lebaran - tuh rasanya pengen cepet gendong cerrier pake sepatu trus pergi, ketemu alam dan berdamai dengannya,",kalau tahu libur panjang lebaran tuh rasanya cepat  gendong cerrier pakai  sepatu terus  pergi ketemu alam berdamai dengannya
anger,Siapa bilang kafir gabung sama khilafah bro jgn alihkan isu anda itu siapa penyelundup dari kaum bumidatar se-olah2 pro Pancasila [USERNAME] [URL],siapa bilang kafir gabung sama khilafah bro jangan alihkan isu itu siapa penyelundup kaum bumidatar pro pancasila username url
happy,"btw doa restu orang tua itu emang gilingan ya... pas udah mentok nyari literatur tambahan, nemu aja dong di RUMAH. padahal dari kemarin udah panik kudu mesen dari banyumas  apakah ini berkah ramadan [URL]",btw doa restu orang tua memang  gilingan pas mentok cari  literatur tambahan temu   dong rumah padahal kemarin panik kudu pesan  banyumas ini berkah ramadan url
anger,Salah satu contoh tidak tau berterima kasih... pdhl datang pas sdh terkenal pi wannaone... ckckckc yg dl berjuang siapa? Jawab sendiri ma ko deh Wanna One's Swing Entertainment warns legal action against fansite masters [URL] via [USERNAME],salah satu contoh tahu berterima kasih padahal  datang pas terkenal pi wannaone ckckckc  dulu  berjuang siapa jawab sendiri ma ko deh wanna ones swing entertainment warns legal action against fansite masters url via username
fear,"Dri pgi ngerasain sakit perut kirain mau haid, udh beli kiranti pas di cek malah kaga ada,  plis atulah haid skrg aja, biar bisa ikut solat ied ", pgi merasakan  sakit perut kirain mau haid beli kiranti pas cek malah kaga tolong  atulah haid sekarang   biar ikut solat ied
sadness, Turut berduka cita buat kawan a cak. Semoga. Keluarga yg di tinggalkan a. Bisa di beri kesabaran &amp meridoi kepergian alm.. #sajete #wani,turut berduka cita buat kawan a cak semoga keluarga  tinggalkan a di beri kesabaran amp meridoi kepergian alm
anger,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa,username jaringannya mati tidak dibuka mobile jkn mau puskesmes terus  piye mau tunjukkan kartu elektoniknya
anger," lo belum lahir atau belom sekolah bong saya rasa.... Atau bapak lo pki bong Bandit , rampok atau sejenis yg menganggu orang banyak? Pak Soeharto dibilang kejam hanya oleh orang2 Pki Bandit Rampok Bong bong bongakkk [URL]",kamu lahir belum  sekolah bong rasa bapak kamu pki bong bandit rampok sejenis  menganggu orang banyak pak soeharto dibilang kejam oleh orang pki bandit rampok bong bong bongakkk url
anger,bagi yang dulunya usaha terus skrg jd karyawan macam gue pasti bawaannye pgn usaha lagi . ga ada yang ngatur .flexible. lbh banyak duit. faaak,yang usaha terus sekarang  jadi karyawan macam pasti bawaannye usaha tidak yang ngatur flexible lebih  banyak duit faaak
sadness,Salah satu efek merapi sama bom bagi orang yang mau bikin event. Negara lain takut ke Jogja dan Indonesia karena. Jadi aku lagi ada event internasional dan beberapa negara belum konfirmasi karena takut sama merapi sama teror juga. Moga merapi lekas reda :) moga ngga ada bom lagi.,salah satu efek merapi sama bom orang mau bikin event negara takut jogja indonesia jadi event internasional beberapa negara konfirmasi takut sama merapi sama teror semoga  merapi lekas reda semoga  ada bom lagi
anger,Baiknya Gubernur Anies Baswedan dimosi tdk percaya biar lengser [USERNAME] ! [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [URL],baiknya gubernur anies baswedan dimosi percaya biar lengser username username username username username username username username username username url
anger,Kaum oposisi tidak bikin geger-an di media termsk medsos ketika Rupiah menguat.... Musim ribut-nya khusus wkt terjadi pelemahan saja... dg menyalahkan semuanya kpd Presiden [USERNAME] ....  [URL],kaum oposisi bikin gegeran media termsk medsos rupiah menguat musim ributnya khusus waktu  terjadi pelemahan dengan  menyalahkan semuanya  presiden username url
sadness,"Lagi puasa tp dri pagi udah kesana kemari mmbawa alamat,, eh ayuting2 kalee.. enggk ding. Ini knpa siang2 tetangga sbelah goreng telur yah, kan baunya smpe idung gw hikss piye sih mbak?",puasa dari  pagi kesana kemari mmbawa alamat eh ayuting kali  enggk ding kenapa  siang tetangga sbelah goreng telur yah kan baunya  idung hikss piye sih mbak
anger,[USERNAME] Heee aku kemarin ngeliat hoak tetang pohon plastik pertama kali dr akun anda ygdisebarkan lewat fb .... ini bukan saja nol besar tp skaligus nonjok muka junjungan sdr ... terima kasih,username heee kemarin ngeliat hoak tetang pohon plastik pertama kali  akun ygdisebarkan lewat facebook  bukan nol besar skaligus nonjok muka junjungan sdr terima kasih
anger,"[USERNAME] Min ini gimana? Kurirnya salah kirim, malah ke alamat orang. Trs pertanggung jawabannya gimana? Tolong respon secepatnya. Thanks. [URL]",username min gimana kurirnya salah kirim malah alamat orang terus  pertanggung jawabannya gimana respon secepatnya thanks url
fear,Ini pas banget! Gue habis baca buku ada bule PDKT bilang cariin rumah sama.mobil. dicariin mobil sama rumah mewah si bule Ok dan niat kirim uang sekitar $100jt tp pake pos. Bilang sama hadiah lain. Tp gak masuk akal kirim yang sebanyak itu pake pos [URL],pas sekali  habis baca buku bule pdkt bilang cariin rumah samamobil dicariin mobil sama rumah mewah si bule oke niat kirim uang jt pakai  pos bilang sama hadiah tapi masuk akal kirim sebanyak pakai  pos url
anger,[USERNAME] [USERNAME] [USERNAME] [USERNAME] Masalahnya itu uang buat konsumsi buka puasa bareng anak yatim yang harus dibayarkan ke katering ..,username username username username masalahnya uang buat konsumsi buka puasa bareng anak yatim harus dibayarkan katering
sadness,Niat ke masjid sholat nya di lantai 2 berharap bisa obob manjah krn biasanya ga banyak yg solat disini. Fact: Fullhouse mpe shaf belakang. Bhay!,niat masjid sholat nya lantai berharap obob manjah  biasanya banyak  solat disini fact fullhouse mpe shaf belakang selamat tinggal
happy,"Paling excited kalo ngobrol sama orang kreatif, siap saja kalo bakal tercengang sama ide mereka yang mungkin belum pernah terpikirkan olehmu: ""Oh iya, kenapa aku baru kepikiran?""  ",paling excited kalau  bicara  sama orang kreatif siap kalau  bakal tercengang sama ide yang mungkin pernah terpikirkan olehmu iya saya baru kepikiran
anger,"Miris : Menciptakan 'karya' dengan susah payah yang menguras pikiran,tenaga,waktu dan materi,... KALAH oleh oknum yg menjiplak dan/atau sekedar terima beres memanfaatkan karya orang lain dengan gimmik dan sensasi. Gimana menurut [USERNAME] ??",miris menciptakan karya susah payah menguras pikirantenagawaktu materi kalah oknum  menjiplak danatau sekedar terima beres memanfaatkan karya orang dengan gimmik sensasi gimana username
